Video frame number,Transmission Beginning Time
612,1713651577.615365
613,1713651578.123176
614,1713651578.7613137
615,1713651579.156562
616,1713651579.8017812
617,1713651580.3647623
618,1713651581.0070102
619,1713651581.8397813
620,1713651582.3755558
621,1713651583.0005584
622,1713651583.4467294
623,1713651584.0479243
624,1713651584.7290845
625,1713651585.3450363
626,1713651585.9783683
627,1713651586.6400197
628,1713651587.2623203
629,1713651587.7429152
630,1713651588.2876418
631,1713651588.9097538
632,1713651589.572353
633,1713651590.0961912
634,1713651590.8457713
635,1713651591.4773974
636,1713651592.0073607
637,1713651592.5874484
638,1713651593.2602158
639,1713651593.8224359
640,1713651594.3771696
641,1713651595.0468574
642,1713651595.6120517
643,1713651596.315938
644,1713651596.8156722
645,1713651597.3802621
646,1713651598.063779
647,1713651598.647572
648,1713651599.2371094
649,1713651599.9265637
650,1713651600.511843
651,1713651601.0836887
652,1713651601.6957426
653,1713651602.3476698
654,1713651602.9375317
655,1713651603.6774557
656,1713651604.1740081
657,1713651604.8402343
658,1713651605.2977598
659,1713651605.9507444
660,1713651606.5670047
661,1713651607.2024488
662,1713651607.7223258
663,1713651608.2167096
664,1713651608.7274606
665,1713651609.3154306
666,1713651610.015078
667,1713651610.5775607
668,1713651611.2699564
669,1713651612.0336769
670,1713651612.6314745
671,1713651613.2267003
672,1713651613.8562129
673,1713651614.4441075
674,1713651615.066562
675,1713651615.6246874
676,1713651616.293828
677,1713651616.8720696
678,1713651617.5758474
679,1713651617.977225
680,1713651618.6377828
681,1713651619.3518817
682,1713651619.8588426
683,1713651620.4857829
684,1713651621.1290689
685,1713651621.8050766
686,1713651622.406117
687,1713651623.0018692
688,1713651623.521171
689,1713651624.1628041
690,1713651624.8377132
691,1713651625.342105
692,1713651625.8986864
693,1713651626.5443738
694,1713651626.9707632
695,1713651627.693664
696,1713651628.2104564
697,1713651628.6779783
698,1713651629.353301
699,1713651629.7880576
700,1713651630.5561206
701,1713651631.026075
702,1713651631.5418084
703,1713651632.170335
704,1713651632.9608212
705,1713651633.3888373
706,1713651633.956834
707,1713651634.458153
708,1713651634.9417222
709,1713651635.3869965
710,1713651635.8482933
711,1713651636.2516985
712,1713651636.5851376
713,1713651637.1684144
714,1713651637.6220524
715,1713651638.2221456
716,1713651638.5427115
717,1713651638.87281
718,1713651639.4558432
719,1713651639.850204
720,1713651640.3333719
721,1713651640.8557165
722,1713651641.2686675
723,1713651641.8092275
724,1713651642.2791216
725,1713651642.7382226
726,1713651643.2536492
727,1713651643.7830074
728,1713651644.244241
729,1713651644.694209
730,1713651645.2536676
731,1713651645.7015946
732,1713651646.0713365
733,1713651646.6979775
734,1713651647.1365302
735,1713651647.5544462
736,1713651648.0184453
737,1713651648.5252426
738,1713651649.030346
739,1713651649.3484561
740,1713651649.8260243
741,1713651650.3224792
742,1713651650.7732568
743,1713651651.2372432
744,1713651651.7876484
745,1713651652.2931385
746,1713651652.6610463
747,1713651653.252195
748,1713651653.6457808
749,1713651654.12054
750,1713651654.5426376
751,1713651654.986951
752,1713651655.7147307
753,1713651656.1513515
754,1713651656.6560268
755,1713651657.102029
756,1713651657.5539963
757,1713651657.9350636
758,1713651658.5228403
759,1713651658.9027045
760,1713651659.4203885
761,1713651659.8711708
762,1713651660.3619714
763,1713651660.8710656
764,1713651661.2419846
765,1713651661.6880386
766,1713651662.1437151
767,1713651662.6921306
768,1713651663.2401836
769,1713651663.8422337
770,1713651664.166077
771,1713651664.7285888
772,1713651665.3513513
773,1713651665.8024228
774,1713651666.3674023
775,1713651666.8479118
776,1713651667.386119
777,1713651667.8926592
778,1713651668.3650913
779,1713651668.8642066
780,1713651669.3947911
781,1713651669.9149623
782,1713651670.423657
783,1713651670.7024271
784,1713651671.3958354
785,1713651671.872126
786,1713651672.3130233
787,1713651672.8451793
788,1713651673.4544225
789,1713651673.893918
790,1713651674.4016957
791,1713651674.8954706
792,1713651675.505366
793,1713651676.0496593
794,1713651676.347665
795,1713651676.8807616
796,1713651677.4017334
797,1713651677.7772455
798,1713651678.4100852
799,1713651678.80294
800,1713651679.2679622
801,1713651679.8030899
802,1713651680.0876994
803,1713651680.6739335
804,1713651681.0036983
805,1713651681.4492824
806,1713651681.7624602
807,1713651682.497955
808,1713651682.5347161
809,1713651683.0901346
810,1713651683.6555715
811,1713651683.9641783
812,1713651684.4723296
813,1713651684.7535977
814,1713651685.1002378
815,1713651685.6064656
816,1713651686.0331802
817,1713651686.3594272
818,1713651686.9005582
819,1713651687.297773
820,1713651687.6245625
821,1713651688.0238109
822,1713651688.552423
823,1713651688.946976
824,1713651689.3928735
825,1713651689.764465
826,1713651690.2176824
827,1713651690.4144
828,1713651690.9794767
829,1713651691.127261
830,1713651691.4432743
831,1713651692.0010893
832,1713651692.2473145
833,1713651692.603276
834,1713651693.0167408
835,1713651693.339663
836,1713651693.6146307
837,1713651694.190454
838,1713651694.493456
839,1713651694.8550465
840,1713651695.1190422
841,1713651695.2724476
842,1713651695.7869112
843,1713651695.9127207
844,1713651696.363908
845,1713651696.7644544
846,1713651697.0185778
847,1713651697.3540258
848,1713651697.911329
849,1713651698.224623
850,1713651698.4835587
851,1713651699.1401145
852,1713651699.7265847
853,1713651700.2701542
854,1713651701.9449656
855,1713651701.99115
856,1713651702.033719
857,1713651704.228596
858,1713651704.35652
859,1713651704.4039168
860,1713651704.94611
861,1713651706.666708
862,1713651706.7089372
863,1713651707.2371562
864,1713651708.7521045
865,1713651708.92321
866,1713651710.287234
867,1713651711.46107
868,1713651713.0026095
869,1713651715.0085027
870,1713651717.8230746
871,1713651718.2310147
872,1713651719.0928922
873,1713651719.9082146
874,1713651720.4632251
875,1713651720.8139832
876,1713651721.2015343
877,1713651721.7709265
878,1713651722.2504218
879,1713651722.7230065
880,1713651723.1680906
881,1713651723.5844607
882,1713651723.8651147
883,1713651724.2029269
884,1713651724.509112
885,1713651724.8710554
886,1713651725.2075377
887,1713651725.481917
888,1713651725.8565156
889,1713651726.4531033
890,1713651727.0090322
891,1713651727.082562
892,1713651727.3821383
893,1713651727.6078165
894,1713651727.692346
895,1713651728.0075972
896,1713651728.508821
897,1713651728.9800928
898,1713651729.2727644
899,1713651729.8000865
900,1713651730.2487316
901,1713651730.7750077
902,1713651731.175563
903,1713651731.606397
904,1713651732.17465
905,1713651732.6363413
906,1713651733.1030412
907,1713651733.650327
908,1713651733.930571
909,1713651734.263557
910,1713651734.7720692
911,1713651735.2763472
912,1713651735.8735447
913,1713651736.4213967
914,1713651736.9222646
915,1713651737.4917488
916,1713651738.1128578
